skraćenica, značenje
A&H , Accident and Health
A&I , Accident and Indemnity
A&S , Accident and Sickness Insurance
a/m , Above Mentioned
AAA , American Academy of Actuaries; American Accounting Association
AAIS , American Association of Insurance Services
AAR , Against All Risks
AAU , Associated Aviation Underwriters
ABS , American Bureau of Shipping
Ac , Accident
ACH , Automated Clearing House
ACIF , All Canada Insurance Federation
ACLU , American College of Life Underwriters
ACMI , Aircraft Crew Maintenance and Insurance
ACSC , Association of Casualty and Surety Companies
ACV , Actual Cash Value
ADB , Accidental Death Benefit
AEAI , Association Européenne des Assurés de l'Industrie
AEC , Additional Extended Coverage
AFA , Associated Fraternities of America; Aerospace Financial Assurance
AFIA , American Foreign Insurance Association
AGC , Associated General Contractors
AHA , American Hospital Association
AHIS , American Hull Insurance Syndicate
AIA , American Insurance Association
AIC , Asian Insurance Council
AICD , Automobile Insurance Claim Depository
AICPA , American Institute of Certified Public Accountants
AIDA , Association Internationale de Droit d'Assurance
AIIC , Associate of the Insurance Institute of Canada; Arab International Insurance Company
AIMR , Association for Investment Management and Research
AIMU , American Institute of Marine Underwriters
AIOA , Aviation Insurance Offices' Association
AIPLU , American Institute for Property and Liability Underwriters
AIRM , Association of Insurance Risk Managers
AIS , Accounting Information System
AIV , Appreciation in Value
ALC , American Life Convention
ALE , Additional Living Expenses
ALGOL , Algorithmic Language
ALIMD , Association of Life Insurance Medical Directors
ALOP , Advance Loss of Profit
AMA , American Medical Association
AmCham, American Chamber of Commerce
AMIA , American Mutual Insurance Alliance
AML , Absolute Maximum Loss
AMS , American Meteorological Society
AMU(BC), Association of Marine Underwriters of British Columbia
ANI , American Nuclear Insurers
ANL , Above Normal Loss
ANLE , Above Normal Loss Expectancy
ANSI X12, American National Standards Institute (for interindustry electronic interchange of business transactions)
AO , At Occupation 
AP , Additional Premium
APC , Auditory Practices Committee
APL , Anticipated Probable Loss; Automatic Premium Loan; Average Probable Loss
APQP , Advanced Product Quality Planning
AR , Accounts Receivable; All Risks
ARC , Asian Reinsurance Corporation
ARIA , American Risk and Insurance Association
ARIAS , AIDA ,  Reinsurance and Insurance Arbitration Society
ARP , Assigned Risks Pool
ARR , All Risks Reinsurance
AS , Automatic Sprinkler
ASA , American Standards Association
ASCE , American Society of Civil Engineers
ASCS , Agricultural Stabilization and Conservation Service
ASEAN , Association of Southeast Asian Nations
ASIM , American Society of Insurance Management
ASLO , Associated Scottish Life Offices
ASO , Administrative Services Only
ASP , Advanced Studies Program
ASTIN , Actuarial Studies in Non-Life Insurance
ATIMA , As Their Interest May Appear
ATP , Automatic Train Protection
Au , Automobile
AUC , Assets Under Construction
AUM , Assets Under Management
AUTHOR , Authorization
B&C , Building and Contents
B/Down , Breakdown
B/L , Bill of Lading
B2B , Business to Business
BACT , Best Available Control Technology
BANSTA , Banking Status
BAP , Basic Automobile Policy; Business Automobile Policy
BATNEEC , Best Available Technology Not Entailing Excessive Costs
BBB , Banker's Blanket Bond
BBSU , Bid Bond Service Undertaking
BCP , Blanket Crime Policy
BDI , Both Days Inclusive
BFL , Business Facility Lease
BFUP , Board of Fire Underwriters of the Pacific
BI , Bodily Injury; Business Interruption
BIA , British Insurance Association
BIBA , British Insurance Brokers' Association
BIM , British Institute of Management
BLAR , British League against Rheumatism
Bo , Bonding
BOBO , Bourgeois Bohemian 
BP , Brick Protected 
BPB , Blanket Position Bond
BR , Brick; Builder's Risk
BSM , British School of Motoring
BSP , Bank Settlement Plan/Billing and Settlement Plan
BU , Burglary; Brick Unprotected
BV , Brick Veneered
BVC , Bureau Veritas Class
C, Casualty; Combined
C of C , Course of Construction
C% , Cent Percent
C&F, Cost and Freight
CAAT , Computer Assisted Auditing Techniques
CAD , Computer Aided Design
CAE , Computer Aided Engineering
CAIG , Canadian Aircraft Insurance Group
CAIR , Canadian Insurance Rating
CALI , Compulsory Automobile Liability Insurance
Canc. , Cancel
CAP , Chicago Area Program
CAPEX , Capital Expenditures
CAPM , Capital Asset Pricing Model
CAPP , Conference of Actuaries in Public Practice
CAR , Contractors All Risks
CAS , Casualty Actuarial Society
CB , Cash Book
CBB , Commercial Blanket Bond
CBE , Commander of the Order of the British Empire
CBMU , Canadian Board of Marine Underwriters
CBMUA , Canadian Boiler and Machinery Underwriters Association
CC , Captain's Copy
CCC , Commodity Credit Corporation
CCIA , Consumer Credit Insurance Association
CCR , Central Contractor Registration
CDDD , Comprehensive Dishonesty, Disappearance and Destruction Policy
CDIA , Centre of Documentation and Information
CDP , Comprehensive Dwelling Policy
CEA , Comité Européen des Assurances; Committee of European Assurance
CECR , Civil Engineering Completed Risks
CEIOPS , Committee of European Insurance and Occupational Pensions Supervisors
CEMT , Council of European Ministers of Transport
CERCLA , Comprehensive Environmental Response, Compensation and Liability Act
CF , Carried Forward
CFI , Cost, Freight and Insurance
CFIAB , Canadian Federation of Insurance Agents and Brokers
CFM , Cubic Feet per Minute
CFPA ,   Europe Confederation of Fire Protection Association Europe
CFR , Crash/Fire Rescue Vehicles; Centre for Fire Research; Cost and Freight
CGL , Comprehensive General Liability 
CHIA , Canadian Health Insurance Association
CHIAA , Crop-Hail Insurance Actuarial Association
CHUA , Canadian Hail Underwriters Association
CI , Cost and Insurance; Certificate of Insurance
CIA , Cotton Insurance Association; Canadian Institute of Actuaries
CIAC , Canadian Independent Adjusters Conference
CICMA , Canadian Insurance Claims Managers Association
CIEL , Centre for International Environmental Law
CIF , Cost, Insurance, Freight
CIF&C , Cost, Insurance, Freight and Commission
CIFC&I , Cost, Insurance, Freight, Commission and Interest
CII , Chartered Insurance Institute
CILA , Chartered Institute of Loss Adjusters
CIP , Freight/Carriage and Insurance Paid to…
CIRV , Convention Internationale de Récupération des Véhicules Volés
CIS , Corporate Information System
CIT , Commission on Insurance Terminology of the American Risk and Insurance Association
CL , Chain Ladder; Current Liabilities
CLR , Complementary Loss Ratio
CLU , Chartered Life Underwriter
CME , Chicago Mercantile Exchange
CMI , Comité Maritime International
CML , Credible Maximum Loss
CMP , Cost Management Process
Cnts. , Contents
Co. , Coinsurance
COBOL , Common Business Oriented Language
COD , Cash on Delivery
COFSA , Commonwealth and Overseas Fire Services Association
COL's , Corporation of Lloyd's
COM , Computer Output Microfilm 
COMDIS , Commercial Dispute
Comp. , Comprehensive; Compensation
Comp. Op. , Completed Operations 
COSHH , Control of Substances Hazardous to Health
CP ,  Capacity
CPA , Certified Public Accountant
CPC , Commercial Property Coverage
CPCU , Chartered Property and Casualty Underwriter
CPE , Construction Plant and Equipment
CPLDS , Classification, Packing and Labelling of Dangerous Substances Regulations
CPM , Construction, Plant and Machinery; Critical Path Method 
CPS , Centre for Policy Studies
CR , Credit Report
CREADV , Credit Advice Message
CREEXT , Extended Credit Advice Message
CREMUL , Multiple Credit Advice Message
